Source,Target,Weight
EVELYN,E1,1
EVELYN,E2,1
EVELYN,E3,1
EVELYN,E4,1
EVELYN,E5,1
EVELYN,E6,1
EVELYN,E8,1
EVELYN,E9,1
LAURA,E1,1
LAURA,E2,1
LAURA,E3,1
LAURA,E5,1
LAURA,E6,1
LAURA,E7,1
LAURA,E8,1
THERESA,E2,1
THERESA,E3,1
THERESA,E4,1
THERESA,E5,1
THERESA,E6,1
THERESA,E7,1
THERESA,E8,1
THERESA,E9,1
BRENDA,E1,1
BRENDA,E3,1
BRENDA,E4,1
BRENDA,E5,1
BRENDA,E6,1
BRENDA,E7,1
BRENDA,E8,1
CHARLOTTE,E3,1
CHARLOTTE,E4,1
CHARLOTTE,E5,1
CHARLOTTE,E7,1
FRANCES,E3,1
FRANCES,E5,1
FRANCES,E6,1
FRANCES,E8,1
ELEANOR,E5,1
ELEANOR,E6,1
ELEANOR,E7,1
ELEANOR,E8,1
PEARL,E6,1
PEARL,E8,1
PEARL,E9,1
RUTH,E5,1
RUTH,E7,1
RUTH,E8,1
RUTH,E9,1
VERNE,E7,1
VERNE,E8,1
VERNE,E9,1
VERNE,E12,1
MYRNA,E8,1
MYRNA,E9,1
MYRNA,E10,1
MYRNA,E12,1
KATHERINE,E8,1
KATHERINE,E9,1
KATHERINE,E10,1
KATHERINE,E12,1
KATHERINE,E13,1
KATHERINE,E14,1
SYLVIA,E7,1
SYLVIA,E8,1
SYLVIA,E9,1
SYLVIA,E10,1
SYLVIA,E12,1
SYLVIA,E13,1
SYLVIA,E14,1
NORA,E6,1
NORA,E7,1
NORA,E9,1
NORA,E10,1
NORA,E11,1
NORA,E12,1
NORA,E13,1
NORA,E14,1
HELEN,E7,1
HELEN,E8,1
HELEN,E10,1
HELEN,E11,1
HELEN,E12,1
DOROTHY,E8,1
DOROTHY,E9,1
OLIVIA,E9,1
OLIVIA,E11,1
FLORA,E9,1
FLORA,E11,1